time,seconds_elapsed,lux
1733230359971850800,0.191850830078125,426
1733230359997766100,0.21776611328125,425
1733230360037660700,0.25766064453125,424
1733230360077639700,0.2976396484375,422
1733230360117726200,0.337726318359375,421
1733230360157626600,0.377626708984375,419
1733230360237632000,0.457632080078125,418
1733230360277694000,0.49769384765625,417
1733230360317689900,0.53768994140625,416
1733230360357652000,0.57765185546875,415
1733230360437663000,0.6576630859375,413
1733230360477654000,0.697654052734375,412
1733230360517764000,0.73776416015625,410
1733230360557661200,0.7776611328125,408
1733230360597675800,0.81767578125,405
1733230360637637600,0.8576376953125,403
1733230360677694500,0.897694580078125,401
1733230360717678300,0.93767822265625,399
1733230360757674000,0.977674072265625,396
1733230360797750500,1.01775048828125,394
1733230360837742800,1.057742919921875,391
1733230360877672700,1.097672607421875,387
1733230360917692700,1.137692626953125,385
1733230360957706800,1.177706787109375,382
1733230360997675300,1.21767529296875,380
1733230361037752000,1.257751953125,378
1733230361077642000,1.29764208984375,375
1733230361117707300,1.337707275390625,373
1733230361157680600,1.3776806640625,371
1733230361197788200,1.4177880859375,370
1733230361597682000,1.817681884765625,371
1733230361637668900,1.8576689453125,372
1733230361677763600,1.897763671875,373
1733230361717687600,1.9376875,372
1733230361757854700,1.977854736328125,371
1733230361837670000,2.057669921875,367
1733230361877799200,2.097799072265625,362
1733230361917663700,2.137663818359375,358
1733230361957694500,2.177694580078125,353
1733230361997653800,2.21765380859375,346
1733230362037805000,2.25780517578125,339
1733230362077677300,2.29767724609375,331
1733230362117651700,2.337651611328125,323
1733230362157705500,2.37770556640625,316
1733230362197687300,2.417687255859375,309
1733230362237663700,2.457663818359375,301
1733230362277674200,2.49767431640625,292
1733230362317887200,2.53788720703125,284
1733230362357726700,2.577726806640625,274
1733230362397741600,2.617741455078125,262
1733230362437790500,2.65779052734375,252
1733230362477635000,2.697635009765625,242
1733230362517647000,2.737647216796875,231
1733230362557658600,2.77765869140625,224
1733230362597677300,2.81767724609375,218
1733230362637667600,2.85766748046875,214
1733230362677658400,2.897658447265625,207
1733230362717699300,2.93769921875,197
1733230362757778700,2.97777880859375,188
1733230362797649000,3.01764892578125,180
1733230362837726200,3.057726318359375,175
1733230362877812700,3.097812744140625,171
1733230362917659100,3.1376591796875,166
1733230362957678000,3.177677978515625,159
1733230362997734100,3.217734130859375,154
1733230363037691600,3.257691650390625,149
