time,seconds_elapsed,dBFS
1733230359927000000,0.147,-160
1733230360038000000,0.258000244140625,-160
1733230360160000000,0.38,-160
1733230360274000000,0.493999755859375,-104
1733230360391000000,0.611,-84
1733230360508000000,0.728,-80
1733230360624000000,0.844,-73
1733230360742000000,0.962000244140625,-63
1733230360863000000,1.083,-55
1733230360975000000,1.195,-56
1733230361094000000,1.314000244140625,-59
1733230361210000000,1.429999755859375,-57
1733230361337000000,1.557,-37
1733230361445000000,1.665,-46
1733230361562000000,1.781999755859375,-42
1733230361680000000,1.9,-55
1733230361796000000,2.016,-69
1733230361914000000,2.133999755859375,-68
1733230362031000000,2.251,-71
1733230362149000000,2.369,-46
1733230362264000000,2.484,-38
1733230362382000000,2.602000244140625,-47
1733230362500000000,2.72,-50
1733230362618000000,2.837999755859375,-66
1733230362734000000,2.954000244140625,-78
1733230362853000000,3.073,-83
1733230362969000000,3.189,-81
1733230363086000000,3.306000244140625,-51
1733230363202000000,3.421999755859375,-37
1733230363321000000,3.541,-49
1733230363437000000,3.657,-58
1733230363556000000,3.776,-51
1733230363671000000,3.891,-74
1733230363792000000,4.012,-65
1733230363906000000,4.125999755859375,-30
1733230364023000000,4.243,-42
1733230364142000000,4.362000244140625,-45
1733230364257000000,4.477,-63
1733230364375000000,4.595,-64
1733230364491000000,4.711,-79
1733230364611000000,4.831,-80
1733230364726000000,4.946000244140625,-76
1733230364843000000,5.063,-58
1733230364960000000,5.18,-27
1733230365081000000,5.301,-51
1733230365194000000,5.413999755859375,-67
1733230365312000000,5.532,-73
1733230365430000000,5.650000244140625,-84
1733230365547000000,5.767,-78
1733230365668000000,5.888,-38
1733230365781000000,6.001,-41
1733230365901000000,6.121,-60
1733230366017000000,6.237,-57
1733230366132000000,6.352,-62
1733230366249000000,6.469,-64
1733230366367000000,6.587,-87
1733230366484000000,6.704,-65
1733230366602000000,6.821999755859375,-37
1733230366721000000,6.941,-50
1733230366838000000,7.058000244140625,-56
1733230366954000000,7.173999755859375,-64
1733230367070000000,7.290000244140625,-74
1733230367187000000,7.407,-71
1733230367305000000,7.525,-72
1733230367421000000,7.641,-40
1733230367539000000,7.759,-47
1733230367657000000,7.877,-54
1733230367773000000,7.993,-69
1733230367890000000,8.109999755859375,-68
1733230368009000000,8.229,-85
1733230368125000000,8.345,-70
1733230368242000000,8.461999755859376,-68
1733230368363000000,8.583,-34
1733230368476000000,8.696,-50
1733230368598000000,8.818000244140626,-64
1733230368710000000,8.930000244140626,-73
1733230368831000000,9.051,-73
1733230368945000000,9.165,-72
1733230369062000000,9.282000244140624,-75
1733230369180000000,9.4,-62
1733230369297000000,9.517,-38
1733230369414000000,9.634000244140625,-58
1733230369531000000,9.751,-65
1733230369650000000,9.869999755859375,-62
1733230369767000000,9.987,-63
1733230369883000000,10.103,-71
1733230370000000000,10.22,-76
1733230370116000000,10.336,-67
