time,seconds_elapsed,dBFS
1733231770048000000,0.041,-160
1733231770225000000,0.218,-160
1733231770344000000,0.337,-160
1733231770462000000,0.455000244140625,-160
1733231770579000000,0.572,-74
1733231770696000000,0.689,-58
1733231770815000000,0.808,-39
1733231770932000000,0.925,-44
1733231771047000000,1.04,-42
1733231771167000000,1.16,-33
1733231771282000000,1.274999755859375,-17
1733231771399000000,1.392,-29
1733231771516000000,1.509,-30
1733231771636000000,1.629,-37
1733231771751000000,1.744,-37
1733231771868000000,1.861,-39
1733231772034000000,2.026999755859375,-28
1733231772156000000,2.149,-32
1733231772269000000,2.262,-24
1733231772387000000,2.38,-29
1733231772506000000,2.498999755859375,-28
1733231772621000000,2.614,-33
1733231772738000000,2.730999755859375,-31
1733231772856000000,2.849,0
1733231772974000000,2.967000244140625,-34
1733231773090000000,3.082999755859375,-25
1733231773207000000,3.2,-34
1733231773328000000,3.321,-29
1733231773442000000,3.434999755859375,-29
1733231773559000000,3.552,-27
1733231773676000000,3.669,-25
