time,seconds_elapsed,dBFS
1733224532347000000,0,-160
1733224532349000000,0.002,-160
1733224532356000000,0.009,-160
1733224532500000000,0.153,-160
1733224532609000000,0.262,-160
1733224532722000000,0.374999755859375,-160
1733224532840000000,0.493,-160
1733224532956000000,0.609,-64
1733224533073000000,0.726,-59
1733224533192000000,0.845,-54
1733224533308000000,0.961,-35
1733224533425000000,1.078,-42
1733224533542000000,1.195000244140625,-42
1733224533661000000,1.314,-39
1733224533776000000,1.429,-38
1733224533894000000,1.547000244140625,-18
1733224534011000000,1.664,-21
1733224534129000000,1.782,-25
1733224534244000000,1.897,-16
1733224534362000000,2.014999755859375,-20
1733224534480000000,2.133,-25
1733224534597000000,2.25,-24
1733224534714000000,2.366999755859375,-27
1733224534832000000,2.485,-25
1733224534952000000,2.605,-28
1733224535066000000,2.718999755859375,-42
1733224535183000000,2.836,-26
1733224535301000000,2.954,-47
1733224535418000000,3.070999755859375,-75
1733224535534000000,3.187000244140625,-76
1733224535652000000,3.305,-77
1733224535770000000,3.422999755859375,-33
1733224535885000000,3.538,-21
1733224536003000000,3.656,-23
1733224536123000000,3.776,-20
1733224536238000000,3.891000244140625,-21
1733224536355000000,4.008,-12
1733224536471000000,4.124,-20
1733224536593000000,4.246,-14
1733224536707000000,4.36,-18
1733224536823000000,4.476,-33
1733224536940000000,4.593,-16
1733224537058000000,4.710999755859375,-20
1733224537175000000,4.828,-24
1733224537292000000,4.945,-19
1733224537412000000,5.065,-18
1733224537526000000,5.179000244140625,-38
1733224537644000000,5.297,-21
1733224537761000000,5.414,-27
1733224537879000000,5.532,-28
