time,seconds_elapsed,dBFS
1733230310927000000,0.151,-160
1733230311038000000,0.262000244140625,-160
1733230311147000000,0.371,-160
1733230311265000000,0.489,-105
1733230311382000000,0.606000244140625,-94
1733230311499000000,0.723,-82
1733230311616000000,0.84,-71
1733230311734000000,0.958000244140625,-76
1733230311855000000,1.079,-82
1733230311969000000,1.193,-84
1733230312085000000,1.309,-68
1733230312203000000,1.427,-79
1733230312322000000,1.545999755859375,-78
1733230312437000000,1.661,-38
1733230312554000000,1.777999755859375,-27
1733230312671000000,1.895,-53
1733230312794000000,2.017999755859375,-66
1733230312906000000,2.129999755859375,-64
1733230313023000000,2.247,-8
1733230313142000000,2.366000244140625,-30
1733230313257000000,2.481,-44
1733230313374000000,2.598000244140625,-36
1733230313494000000,2.718000244140625,-3
1733230313609000000,2.833,-26
1733230313726000000,2.950000244140625,-39
1733230313843000000,3.067,-13
1733230313963000000,3.187,-11
1733230314077000000,3.301,-27
1733230314194000000,3.417999755859375,-33
1733230314311000000,3.535,-34
1733230314429000000,3.653,-13
1733230314546000000,3.769999755859375,-27
1733230314669000000,3.893,-43
1733230314782000000,4.006000244140625,-27
1733230314898000000,4.121999755859375,-11
1733230315014000000,4.238000244140625,-25
1733230315132000000,4.356,-44
1733230315253000000,4.477,-50
1733230315366000000,4.590000244140625,-5
1733230315484000000,4.708,-10
1733230315603000000,4.827,-21
1733230315718000000,4.942000244140625,-64
1733230315834000000,5.057999755859375,-58
1733230315952000000,5.176,-67
1733230316072000000,5.296,-76
1733230316187000000,5.411,-58
1733230316304000000,5.528,-79
1733230316421000000,5.645,-83
