time,seconds_elapsed,dBFS
1733237668338000000,0.060999755859375,-160
1733237668466000000,0.188999755859375,-160
1733237668580000000,0.303,-160
1733237668695000000,0.418,-160
1733237668813000000,0.536,-43
1733237668929000000,0.652,-17
1733237669051000000,0.774,-16
1733237669164000000,0.887,-9
1733237669281000000,1.004,-3
1733237669399000000,1.122,-3
1733237669515000000,1.238,-3
1733237669633000000,1.356,-19
1733237669750000000,1.473000244140625,-16
1733237669870000000,1.593000244140625,-22
1733237669984000000,1.707,-19
1733237670102000000,1.825000244140625,-20
1733237670219000000,1.942,-17
1733237670336000000,2.059,-24
1733237670453000000,2.176,-21
1733237670570000000,2.292999755859375,-28
1733237670688000000,2.411,-22
1733237670805000000,2.528,-24
1733237670922000000,2.644999755859375,-18
1733237671039000000,2.762,-14
1733237671161000000,2.884,-20
1733237671273000000,2.996,-26
1733237671391000000,3.114,-26
1733237671509000000,3.232,-16
1733237671626000000,3.348999755859375,-21
1733237671742000000,3.465000244140625,-22
1733237671859000000,3.582,-16
1733237671979000000,3.702,-17
1733237672098000000,3.820999755859375,-22
1733237672211000000,3.934,-25
1733237672329000000,4.052,-14
1733237672446000000,4.169000244140625,-28
1733237672563000000,4.286,-24
1733237672680000000,4.403,-5
1733237672804000000,4.527,-14
1733237672917000000,4.64,-24
