time,seconds_elapsed,lux
1733231736216722000,0.209721923828125,745
1733231736288805000,0.28180517578125,744
1733231736328922000,0.321922119140625,741
1733231736368938800,0.361938720703125,739
1733231736408845800,0.401845703125,737
1733231736448821500,0.441821533203125,736
1733231736488850200,0.48185009765625,735
1733231736529035800,0.522035888671875,734
1733231736568852700,0.561852783203125,732
1733231736608925700,0.60192578125,731
1733231736768964600,0.761964599609375,733
1733231736808995800,0.801995849609375,735
1733231736848936700,0.841936767578125,738
1733231736888925200,0.88192529296875,742
1733231736929113600,0.922113525390625,746
1733231736968939800,0.961939697265625,750
1733231737008903200,1.001903076171875,754
1733231737048919000,1.0419189453125,757
1733231737088981000,1.08198095703125,761
1733231737129020200,1.122020263671875,765
1733231737168975400,1.161975341796875,767
1733231737208941800,1.20194189453125,769
1733231737288931300,1.281931396484375,770
1733231737448910600,1.44191064453125,768
1733231737488951300,1.481951416015625,767
1733231737528937700,1.521937744140625,768
1733231737648923600,1.641923583984375,765
1733231737728964600,1.721964599609375,764
1733231737768974800,1.761974853515625,759
1733231737808958500,1.80195849609375,755
1733231737849024300,1.842024169921875,748
1733231737889023500,1.8820234375,743
1733231737928932400,1.921932373046875,741
1733231738088926000,2.081926025390625,744
1733231738128962800,2.121962890625,748
1733231738168905200,2.1619052734375,749
1733231738208942800,2.20194287109375,751
1733231738248922400,2.24192236328125,753
1733231738288927700,2.281927734375,755
1733231738328906200,2.32190625,760
1733231738368919000,2.3619189453125,766
1733231738408950800,2.40195068359375,772
1733231738448943900,2.44194384765625,774
1733231738488965400,2.48196533203125,777
1733231738528924000,2.521923828125,779
1733231738568970800,2.561970703125,780
1733231738608978400,2.601978515625,782
1733231738648937000,2.64193701171875,784
1733231738688938800,2.681938720703125,790
1733231738728955400,2.721955322265625,791
1733231738848995000,2.8419951171875,788
1733231738889039400,2.882039306640625,784
1733231738928985300,2.9219853515625,774
1733231738968915700,2.961915771484375,764
1733231739008852000,3.00185205078125,754
1733231739048977000,3.041976806640625,745
1733231739088968700,3.08196875,738
1733231739129048000,3.122048095703125,735
1733231739328942600,3.321942626953125,736
1733231739368946400,3.361946533203125,737
1733231739408957200,3.401957275390625,740
1733231739448845000,3.441844970703125,743
1733231739488993500,3.48199365234375,748
1733231739528965600,3.521965576171875,751
1733231739608919800,3.601919921875,754
1733231739648934000,3.641933837890625,755
1733231739729122800,3.722122802734375,752
1733231739768935700,3.761935791015625,748
1733231739808860000,3.80185986328125,746
1733231739848978000,3.84197802734375,745
1733231739888929800,3.8819296875,746
1733231740008991500,4.001991455078125,749
1733231740048871200,4.04187109375,755
1733231740088938000,4.08193798828125,762
1733231740128973800,4.121973876953125,770
1733231740168910300,4.161910400390625,776
1733231740209056000,4.202055908203125,780
1733231740328909000,4.321908935546875,772
1733231740368998100,4.361998046875,758
1733231740408999200,4.401999267578125,739
1733231740448987600,4.441987548828125,719
1733231740488925700,4.48192578125,711
1733231740528967000,4.521966796875,708
1733231740648964000,4.641964111328125,713
1733231740688936000,4.68193603515625,721
1733231740728947000,4.721947021484375,730
1733231740768937200,4.761937255859375,740
1733231740808946200,4.8019462890625,744
1733231740848954600,4.84195458984375,747
1733231740888991000,4.881990966796875,750
1733231740928937200,4.921937255859375,752
1733231740968928000,4.961927978515625,753
1733231741008857000,5.001857177734375,754
1733231741048946200,5.0419462890625,753
1733231741088965000,5.081965087890625,752
1733231741168866600,5.161866455078125,751
1733231741208947200,5.201947265625,749
1733231741248999700,5.241999755859375,747
1733231741288964600,5.281964599609375,744
1733231741408959200,5.401959228515625,743
1733231741529008400,5.52200830078125,744
1733231741568935400,5.561935302734375,746
1733231741608892400,5.601892333984375,749
1733231741649001700,5.642001708984375,753
1733231741688989400,5.681989501953125,759
1733231741728926000,5.721926025390625,761
1733231741848941000,5.841941162109375,759
1733231741889084700,5.882084716796875,755
1733231741928921300,5.92192138671875,747
1733231741968969000,5.961968994140625,740
1733231742008991500,6.001991455078125,738
1733231742089012000,6.082011962890625,736
1733231742129090000,6.122090087890625,734
1733231742168947500,6.161947509765625,733
1733231742208953900,6.201953857421875,731
1733231742248959000,6.241958984375,727
1733231742288815000,6.281815185546875,722
1733231742328857900,6.32185791015625,719
