time,seconds_elapsed,dBFS
1733230292552000000,0.002,-160
1733230292553000000,0.003,-160
1733230292738000000,0.187999755859375,-160
1733230292848000000,0.298,-160
1733230292965000000,0.415,-160
1733230293082000000,0.531999755859375,-88
1733230293201000000,0.651,-64
1733230293317000000,0.767,-41
1733230293436000000,0.886,-38
1733230293551000000,1.001,-46
1733230293671000000,1.121,-57
1733230293786000000,1.235999755859375,-53
1733230293905000000,1.355,-55
1733230294020000000,1.47,-60
1733230294137000000,1.587,-56
1733230294289000000,1.739,-29
1733230294405000000,1.855,-20
1733230294523000000,1.973,-43
1733230294639000000,2.089,-50
1733230294757000000,2.207,-54
1733230294876000000,2.326,-41
1733230294991000000,2.441,-19
1733230295109000000,2.559,-29
1733230295225000000,2.675,-42
1733230295343000000,2.793,-56
1733230295459000000,2.909,-22
1733230295576000000,3.026,-21
1733230295697000000,3.147,-23
1733230295811000000,3.261,-27
1733230295928000000,3.378,-57
1733230296046000000,3.496000244140625,-61
1733230296165000000,3.615,-19
1733230296280000000,3.73,-29
1733230296397000000,3.847,-45
1733230296518000000,3.968000244140625,-55
1733230296631000000,4.081,-48
1733230296750000000,4.200000244140625,-19
1733230296865000000,4.315,-26
1733230296985000000,4.435,-43
1733230297100000000,4.55,-38
1733230297217000000,4.667,-49
1733230297335000000,4.785,-14
1733230297452000000,4.902,-28
1733230297569000000,5.019,-50
1733230297686000000,5.136000244140625,-20
1733230297803000000,5.253,-35
1733230297920000000,5.37,-16
1733230298038000000,5.488000244140625,-22
1733230298154000000,5.603999755859375,-21
1733230298273000000,5.723,-37
1733230298389000000,5.839,-43
1733230298507000000,5.957,-32
1733230298625000000,6.075,-5
1733230298741000000,6.191,-32
1733230298857000000,6.307,-41
1733230298976000000,6.426,-17
1733230299093000000,6.543,-29
1733230299213000000,6.663,-42
