time,seconds_elapsed,dBFS
1733237884905000000,0.055,-160
1733237885023000000,0.173,-160
1733237885127000000,0.277,-160
1733237885247000000,0.397,-160
1733237885365000000,0.515,-44
1733237885480000000,0.63,-21
1733237885597000000,0.747,-13
1733237885714000000,0.863999755859375,-15
1733237885831000000,0.981,-14
1733237885949000000,1.099,-22
1733237886065000000,1.215,-20
1733237886185000000,1.335,-19
1733237886300000000,1.45,-27
1733237886417000000,1.567,-27
1733237886534000000,1.684000244140625,-34
1733237886655000000,1.805,-39
1733237886770000000,1.919999755859375,-28
1733237886886000000,2.036000244140625,-20
1733237887005000000,2.155,-20
1733237887120000000,2.27,-18
1733237887239000000,2.389,-14
1733237887354000000,2.503999755859375,-15
1733237887475000000,2.625,-13
1733237887589000000,2.739,-15
1733237887706000000,2.855999755859375,-23
1733237887824000000,2.974,-19
1733237887941000000,3.091,-16
1733237888058000000,3.207999755859375,-16
1733237888175000000,3.325,-20
1733237888294000000,3.444000244140625,-21
1733237888410000000,3.559999755859375,-32
1733237888527000000,3.677,-15
1733237888644000000,3.794,-26
1733237888761000000,3.911,-24
1733237888878000000,4.028000244140625,-27
1733237888996000000,4.146,-39
1733237889114000000,4.263999755859375,-25
1733237889231000000,4.381,-17
1733237889347000000,4.497,-12
1733237889465000000,4.615,-14
1733237889581000000,4.731,-27
1733237889699000000,4.849,-15
