time,seconds_elapsed,temperature
1733461393841000000,1.009,18.8
1733461394839000000,2.007,18.8
1733461395841000000,3.009,18.8
1733461396846000000,4.014000244140625,18.8
1733461397844000000,5.012,18.8
1733461398844000000,6.012,18.8
1733461399846000000,7.014000244140625,18.8
1733461400846000000,8.014000244140625,18.8
1733461401846000000,9.014000244140625,18.8
1733461402846000000,10.014000244140625,18.8
1733461403846000000,11.014000244140625,18.8
1733461404846000000,12.014000244140625,18.8
1733461405848000000,13.016,18.8
1733461406849000000,14.017,18.8
1733461407850000000,15.017999755859375,18.8
1733461408848000000,16.016,18.8
1733461409850000000,17.017999755859375,18.8
1733461410851000000,18.019,18.8
1733461411849000000,19.017,18.8
1733461412851000000,20.019,18.8
1733461413851000000,21.019,18.8
1733461414851000000,22.019,18.8
1733461415852000000,23.02,18.8
