time,seconds_elapsed,temperature
1732873140359000000,1.003,18.8
1732873141360000000,2.004,18.8
1732873142361000000,3.005,18.8
1732873143362000000,4.005999755859375,18.8
1732873144361000000,5.005,18.8
1732873145368000000,6.012,18.8
1732873146365000000,7.009,18.8
1732873147364000000,8.008,18.8
1732873148364000000,9.008,18.8
1732873149366000000,10.010000244140626,18.8
1732873150366000000,11.010000244140626,18.8
1732873151366000000,12.010000244140626,18.8
1732873152369000000,13.013,18.8
1732873153372000000,14.016,18.8
1732873154370000000,15.013999755859375,18.8
1732873155369000000,16.013,18.8
1732873156369000000,17.013,18.8
1732873157370000000,18.013999755859373,18.8
1732873158371000000,19.015,18.8
1732873159370000000,20.013999755859373,18.8
1732873160369000000,21.013,18.8
1732873161370000000,22.013999755859373,18.6
1732873162370000000,23.013999755859373,18.6
1732873163371000000,24.015,18.6
1732873164371000000,25.015,18.6
1732873165371000000,26.015,18.6
1732873166370000000,27.013999755859373,18.6
