time,seconds_elapsed,brightness
1732873140360000000,1.004,0.5
1732873141361000000,2.005,0.5
1732873142362000000,3.005999755859375,0.5
1732873143363000000,4.007,0.5
1732873144362000000,5.005999755859375,0.5
1732873145369000000,6.013,0.5
1732873146368000000,7.012,0.5
1732873147365000000,8.009,0.5
1732873148365000000,9.009,0.5
1732873149367000000,10.011,0.5
1732873150367000000,11.011,0.5
1732873151367000000,12.011,0.5
1732873152370000000,13.013999755859375,0.5
1732873153372000000,14.016,0.5
1732873154371000000,15.015,0.5
1732873155371000000,16.015,0.5
1732873156370000000,17.013999755859373,0.5
1732873157371000000,18.015,0.5
1732873158371000000,19.015,0.5
1732873159371000000,20.015,0.5
1732873160370000000,21.013999755859373,0.5
1732873161371000000,22.015,0.5
1732873162370000000,23.013999755859373,0.5
1732873163372000000,24.016,0.5
1732873164372000000,25.016,0.5
1732873165372000000,26.016,0.5
1732873166371000000,27.015,0.5
