time,seconds_elapsed,temperature
1732873430349000000,1.005,18.8
1732873431349000000,2.005,18.8
1732873432349000000,3.005,18.8
1732873433352000000,4.008,18.8
1732873434350000000,5.006000244140625,18.8
1732873435350000000,6.006000244140625,18.8
1732873436353000000,7.009,18.8
1732873437352000000,8.008,18.8
1732873438355000000,9.011,18.8
1732873439354000000,10.009999755859376,18.8
1732873440355000000,11.011,18.8
1732873441356000000,12.012,18.8
1732873442356000000,13.012,18.8
1732873443356000000,14.012,18.8
1732873444357000000,15.013,18.8
1732873445358000000,16.014000244140625,18.8
1732873446359000000,17.015,18.8
1732873447359000000,18.015,18.8
1732873448359000000,19.015,18.8
1732873449359000000,20.015,18.8
1732873450359000000,21.015,18.8
1732873451361000000,22.017,18.8
1732873452359000000,23.015,18.8
1732873453363000000,24.019,18.8
1732873454364000000,25.02,18.8
1732873455362000000,26.017999755859375,18.8
1732873456365000000,27.021,18.8
