time,seconds_elapsed,dBFS
1732873429483000000,0.139,-160
1732873429599000000,0.255,-160
1732873429717000000,0.373,-160
1732873429836000000,0.492,-65
1732873429951000000,0.607,-35
1732873430068000000,0.724,-21
1732873430187000000,0.843,-16
1732873430305000000,0.961,-15
1732873430420000000,1.076,-14
1732873430538000000,1.193999755859375,-14
1732873430656000000,1.312,-16
1732873430772000000,1.428,-15
1732873430889000000,1.545,-19
1732873431009000000,1.665,-16
1732873431127000000,1.783,-21
1732873431240000000,1.896,-16
1732873431357000000,2.013,-20
1732873431477000000,2.133,-7
1732873431592000000,2.248,-14
1732873431709000000,2.365,-20
1732873431826000000,2.481999755859375,-16
1732873431948000000,2.604,-7
1732873432061000000,2.717,-17
1732873432178000000,2.833999755859375,-1
1732873432294000000,2.950000244140625,-6
1732873432412000000,3.068,0
1732873432529000000,3.185,-7
1732873432647000000,3.303,-10
1732873432766000000,3.422000244140625,-22
1732873432881000000,3.537,-12
1732873432998000000,3.654000244140625,-13
1732873433116000000,3.772,-13
1732873433235000000,3.891,-14
1732873433350000000,4.006000244140625,-23
1732873433467000000,4.123,-17
1732873433586000000,4.241999755859375,-19
1732873433702000000,4.358000244140625,-18
1732873433818000000,4.473999755859375,-10
1732873433936000000,4.592,-17
1732873434053000000,4.709,-8
1732873434170000000,4.825999755859375,0
1732873434288000000,4.944,0
1732873434406000000,5.062000244140625,-7
1732873434522000000,5.177999755859375,-4
1732873434638000000,5.294000244140625,-16
1732873434757000000,5.413,-6
1732873434873000000,5.529,-12
1732873434991000000,5.647,-26
1732873435107000000,5.763,-22
1732873435228000000,5.884,-29
1732873435342000000,5.998000244140625,-31
1732873435459000000,6.115,-28
1732873435576000000,6.232,-30
1732873435697000000,6.353,-29
1732873435810000000,6.465999755859375,-26
1732873435928000000,6.584,-23
1732873436047000000,6.703,-27
1732873436162000000,6.817999755859375,-21
1732873436279000000,6.935,-22
1732873436396000000,7.052,-20
1732873436517000000,7.173,-13
1732873436631000000,7.287,-26
1732873436749000000,7.405,-16
1732873436867000000,7.523,-10
1732873436982000000,7.638000244140625,-20
1732873437100000000,7.756,-23
1732873437217000000,7.873,-26
1732873437335000000,7.991,-21
1732873437451000000,8.107,-16
1732873437568000000,8.224,-4
1732873437688000000,8.344,-6
1732873437803000000,8.459,-12
1732873437920000000,8.576,-10
1732873438038000000,8.694000244140625,-11
1732873438157000000,8.813,-9
1732873438272000000,8.928,-2
1732873438389000000,9.045,-23
1732873438507000000,9.163,-23
1732873438623000000,9.279,-11
1732873438741000000,9.397,-9
