time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1732873431360000000,2.016,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873433361000000,4.017,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873435363000000,6.019,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873437363000000,8.019,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873439362000000,10.017999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873441371000000,12.027,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873443364000000,14.02,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873445364000000,16.02,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873447365000000,18.021,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873449369000000,20.025,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873451368000000,22.024,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873453367000000,24.023,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
1732873455365000000,26.021,wifi,true,true,true,false,,02:00:00:00:00:00,85,10.210.96.183,5220,,
