time,seconds_elapsed,brightness
1733461487571000000,1.01,0.5
1733461488571000000,2.01,0.5
1733461489571000000,3.01,0.5
1733461490572000000,4.011,0.5
1733461491570000000,5.008999755859375,0.5
1733461492571000000,6.01,0.5
1733461493570000000,7.008999755859375,0.5
1733461494572000000,8.011,0.5
1733461495572000000,9.011,0.5
1733461496573000000,10.012,0.5
1733461497572000000,11.011,0.5
1733461498573000000,12.012,0.5
1733461499572000000,13.011,0.5
1733461500573000000,14.012,0.5
1733461501574000000,15.013000244140626,0.5
1733461502575000000,16.014,0.5
1733461503575000000,17.014,0.5
1733461504574000000,18.013000244140624,0.5
1733461505577000000,19.016,0.5
1733461506579000000,20.018,0.5
1733461507579000000,21.018,0.5
1733461508579000000,22.018,0.5
