time,seconds_elapsed,dBFS
1733461486696000000,0.135,-160
1733461486804000000,0.243,-160
1733461486921000000,0.36,-160
1733461487039000000,0.478,-160
1733461487155000000,0.594,-41
1733461487273000000,0.712,-25
1733461487389000000,0.828,-17
1733461487509000000,0.948,-21
1733461487624000000,1.063,-20
1733461487741000000,1.18,-17
1733461487859000000,1.298,-22
1733461487976000000,1.415,-15
1733461488093000000,1.532,-15
1733461488209000000,1.648,-17
1733461488329000000,1.768,-16
1733461488444000000,1.883,-17
1733461488562000000,2.000999755859375,-18
1733461488681000000,2.12,-14
1733461488796000000,2.235,-13
1733461488913000000,2.352,-10
1733461489030000000,2.469000244140625,-17
1733461489148000000,2.587,-17
1733461489265000000,2.704,-20
1733461489382000000,2.821000244140625,-19
1733461489500000000,2.939,-18
1733461489619000000,3.058,-19
1733461489734000000,3.173000244140625,-17
1733461489851000000,3.29,-12
1733461489970000000,3.408999755859375,-18
1733461490085000000,3.524,-19
1733461490202000000,3.640999755859375,-18
1733461490321000000,3.76,-18
1733461490439000000,3.878,-20
1733461490555000000,3.994,-20
1733461490671000000,4.11,-24
1733461490789000000,4.228,-26
1733461490906000000,4.344999755859375,-24
1733461491023000000,4.462,-21
1733461491140000000,4.579,-18
1733461491258000000,4.696999755859375,-15
1733461491375000000,4.814,-20
1733461491491000000,4.93,-15
1733461491609000000,5.048,-19
1733461491726000000,5.165000244140625,-19
1733461491843000000,5.282,-15
1733461491960000000,5.399,-19
1733461492079000000,5.518,-13
1733461492194000000,5.632999755859375,-17
1733461492312000000,5.751,-17
1733461492432000000,5.871,-14
1733461492546000000,5.984999755859375,-14
1733461492663000000,6.102,-19
1733461492781000000,6.22,-15
1733461492900000000,6.339,-17
1733461493015000000,6.454,-21
1733461493132000000,6.571,-17
1733461493250000000,6.688999755859375,-16
1733461493370000000,6.808999755859375,-19
1733461493484000000,6.923,-17
1733461493604000000,7.043,-19
1733461493719000000,7.158,-14
1733461493835000000,7.274,-17
1733461493953000000,7.392,-17
1733461494070000000,7.509000244140625,-15
1733461494189000000,7.628,-21
1733461494304000000,7.743,-19
1733461494425000000,7.864,-18
1733461494540000000,7.979,-22
1733461494656000000,8.095,-15
1733461494772000000,8.211,-18
1733461494890000000,8.328999755859375,-12
1733461495008000000,8.447,-14
1733461495124000000,8.563,-15
1733461495242000000,8.680999755859375,-1
1733461495359000000,8.798,-12
1733461495476000000,8.915,-14
1733461495593000000,9.032,-14
1733461495711000000,9.15,-18
1733461495828000000,9.267,-11
1733461495945000000,9.384,-15
1733461496062000000,9.501000244140625,-14
1733461496180000000,9.619,-15
1733461496297000000,9.736,-16
1733461496414000000,9.853000244140626,-14
1733461496530000000,9.968999755859375,-18
1733461496649000000,10.088,-18
1733461496765000000,10.204,-16
1733461496882000000,10.320999755859376,-15
1733461496999000000,10.438,-17
1733461497118000000,10.557000244140625,-20
1733461497233000000,10.672,-17
1733461497351000000,10.79,-16
1733461497469000000,10.908,-19
1733461497585000000,11.024,-20
1733461497705000000,11.144,-17
1733461497820000000,11.259,-16
1733461497942000000,11.381000244140624,-14
1733461498055000000,11.494,-14
1733461498171000000,11.61,-19
1733461498290000000,11.728999755859375,-13
1733461498406000000,11.845000244140625,-18
1733461498523000000,11.962,-17
1733461498639000000,12.078,-19
1733461498758000000,12.197000244140625,-21
1733461498874000000,12.312999755859375,-17
1733461498992000000,12.431,-22
1733461499109000000,12.548,-16
1733461499226000000,12.664999755859375,-21
1733461499343000000,12.782,-19
1733461499460000000,12.899,-23
1733461499580000000,13.019,-20
1733461499695000000,13.134,-17
1733461499812000000,13.251,-14
1733461499929000000,13.368,-18
1733461500047000000,13.486,-26
1733461500164000000,13.603,-21
1733461500281000000,13.72,-20
1733461500398000000,13.837000244140626,-19
1733461500515000000,13.954,-21
1733461500633000000,14.072,-14
1733461500751000000,14.19,-20
1733461500868000000,14.307,-5
1733461500984000000,14.423,-19
1733461501101000000,14.54,-19
1733461501222000000,14.661000244140626,-18
1733461501335000000,14.774,-13
1733461501453000000,14.892,-16
1733461501571000000,15.01,-19
1733461501690000000,15.128999755859375,-21
1733461501805000000,15.244,-22
1733461501922000000,15.360999755859375,-25
1733461502040000000,15.479,-21
1733461502156000000,15.595,-22
1733461502273000000,15.712,-16
1733461502390000000,15.829000244140625,-20
1733461502509000000,15.948,-22
1733461502625000000,16.064,-22
1733461502742000000,16.181000244140623,-18
1733461502859000000,16.298,-26
1733461502982000000,16.421000244140625,-23
1733461503094000000,16.533000244140624,-21
1733461503211000000,16.65,-19
1733461503329000000,16.768,-12
1733461503445000000,16.884,-25
1733461503563000000,17.002,-19
1733461503680000000,17.119,-23
