time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1732873391061000000,2.019,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873393060000000,4.018,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873395058000000,6.015999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873397061000000,8.019,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873399060000000,10.018,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873401062000000,12.020000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873403061000000,14.019,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873405063000000,16.021,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873407064000000,18.022,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873409063000000,20.021,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873411061000000,22.019,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873413061000000,24.019,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
1732873415063000000,26.021,wifi,true,true,true,false,,02:00:00:00:00:00,81,10.210.96.183,5220,,
