time,seconds_elapsed,temperature
1733404706836000000,1.005,18.1
1733404707837000000,2.006,18.1
1733404708836000000,3.005,18.1
1733404709839000000,4.008,18.1
1733404710842000000,5.010999755859375,18.1
1733404711842000000,6.010999755859375,18.1
1733404712844000000,7.013,18.1
1733404713842000000,8.010999755859375,18.1
1733404714841000000,9.01,18.1
1733404715844000000,10.013,18.1
1733404716841000000,11.01,18.1
1733404717845000000,12.014,18.1
1733404718842000000,13.010999755859375,18.1
1733404719844000000,14.013,18.1
1733404720843000000,15.012,18.1
1733404721843000000,16.012,18.1
1733404722845000000,17.014,18.1
1733404723848000000,18.017,18.1
1733404724847000000,19.016,18.1
1733404725847000000,20.016,18.1
1733404726849000000,21.018,18.1
1733404727851000000,22.02,18.1
1733404728856000000,23.025,18.1
1733404729850000000,24.018999755859376,18.1
1733404730852000000,25.021,18.1
1733404731854000000,26.023000244140626,18.1
1733404732852000000,27.021,18.1
1733404733853000000,28.022,18.1
1733404734853000000,29.022,18.1
1733404735854000000,30.023000244140626,18.1
1733404736856000000,31.025,18.1
1733404737856000000,32.025,18.1
1733404738856000000,33.025,18.1
1733404739858000000,34.02699975585937,18.1
1733404740857000000,35.026,18.1
1733404741858000000,36.02699975585937,18.1
1733404742859000000,37.028,18.1
1733404743861000000,38.03,18.1
1733404744864000000,39.033,18.1
1733404745862000000,40.03100024414063,18.1
1733404746862000000,41.03100024414063,18.1
1733404747861000000,42.03,18.1
1733404748862000000,43.03100024414063,18.1
1733404749863000000,44.032,18.1
1733404750862000000,45.03100024414063,18.1
1733404751863000000,46.032,18.1
1733404752863000000,47.032,18.1
1733404753866000000,48.034999755859374,18.1
