time,seconds_elapsed,brightness
1733404706837000000,1.006,0.5
1733404707838000000,2.007000244140625,0.5
1733404708837000000,3.006,0.5
1733404709840000000,4.009,0.5
1733404710843000000,5.012,0.5
1733404711843000000,6.012,0.5
1733404712845000000,7.014,0.5
1733404713843000000,8.012,0.5
1733404714841000000,9.01,0.5
1733404715845000000,10.014,0.5
1733404716841000000,11.01,0.5
1733404717846000000,12.015000244140625,0.5
1733404718843000000,13.012,0.5
1733404719845000000,14.014,0.5
1733404720843000000,15.012,0.5
1733404721844000000,16.013,0.5
1733404722845000000,17.014,0.5
1733404723849000000,18.018,0.5
1733404724848000000,19.017,0.5
1733404725848000000,20.017,0.5
1733404726850000000,21.018999755859376,0.5
1733404727852000000,22.021,0.5
1733404728857000000,23.026,0.5
1733404729851000000,24.02,0.5
1733404730853000000,25.022,0.5
1733404731855000000,26.024,0.5
1733404732853000000,27.022,0.5
1733404733854000000,28.023000244140626,0.5
1733404734854000000,29.023000244140626,0.5
1733404735855000000,30.024,0.5
1733404736857000000,31.026,0.5
1733404737857000000,32.026,0.5
1733404738858000000,33.02699975585937,0.5
1733404739859000000,34.028,0.5
1733404740858000000,35.02699975585937,0.5
1733404741859000000,36.028,0.5
1733404742866000000,37.034999755859374,0.5
1733404743861000000,38.03,0.5
1733404744865000000,39.034,0.5
1733404745863000000,40.032,0.5
1733404746863000000,41.032,0.5
1733404747862000000,42.03100024414063,0.5
1733404748863000000,43.032,0.5
1733404749864000000,44.033,0.5
1733404750863000000,45.032,0.5
1733404751864000000,46.033,0.5
1733404752864000000,47.033,0.5
1733404753866000000,48.034999755859374,0.5
