time,seconds_elapsed,dBFS
1733404705900000000,0.069,-160
1733404706011000000,0.18,-160
1733404706124000000,0.293,-160
1733404706242000000,0.410999755859375,-160
1733404706359000000,0.528,-61
1733404706476000000,0.645,-38
1733404706594000000,0.762999755859375,-38
1733404706711000000,0.88,-24
1733404706828000000,0.997,-19
1733404706946000000,1.114999755859375,-28
1733404707063000000,1.232,-26
1733404707180000000,1.349,-33
1733404707297000000,1.466,-27
1733404707414000000,1.583000244140625,-35
1733404707531000000,1.7,-35
1733404707650000000,1.818999755859375,-27
1733404707767000000,1.936,-25
1733404707883000000,2.052,-28
1733404708001000000,2.17,-28
1733404708117000000,2.286,-36
1733404708234000000,2.402999755859375,-36
1733404708352000000,2.521,-14
1733404708470000000,2.639000244140625,-34
1733404708586000000,2.754999755859375,-39
1733404708703000000,2.872,-18
1733404708820000000,2.989,-18
1733404708940000000,3.109,-24
1733404709055000000,3.224,-28
1733404709172000000,3.341,-29
1733404709290000000,3.458999755859375,-41
1733404709406000000,3.575000244140625,-42
1733404709523000000,3.692,-46
1733404709640000000,3.809,-27
1733404709759000000,3.928,-34
1733404709874000000,4.042999755859375,-28
1733404709992000000,4.161,-36
1733404710108000000,4.277,-28
1733404710226000000,4.394999755859375,-24
1733404710345000000,4.514,-28
1733404710461000000,4.63,-27
1733404710580000000,4.749,-45
1733404710698000000,4.866999755859375,-52
1733404710813000000,4.982,-27
1733404710940000000,5.109,-40
1733404711047000000,5.216,-43
1733404711164000000,5.333,-51
1733404711281000000,5.45,-45
1733404711398000000,5.567000244140625,-27
1733404711515000000,5.684,-12
1733404711632000000,5.801,-30
1733404711749000000,5.918,-26
1733404711868000000,6.037,-38
1733404711984000000,6.153,-20
1733404712101000000,6.27,-20
1733404712222000000,6.391000244140625,-18
1733404712336000000,6.505,-31
1733404712453000000,6.622,-21
1733404712570000000,6.738999755859375,-30
1733404712690000000,6.858999755859375,-27
1733404712804000000,6.973,-31
1733404712921000000,7.09,-33
1733404713041000000,7.21,-38
1733404713156000000,7.325,-37
1733404713274000000,7.442999755859375,-40
1733404713390000000,7.559000244140625,-34
1733404713508000000,7.677,-45
1733404713625000000,7.794,-58
1733404713741000000,7.91,-46
1733404713861000000,8.03,-27
1733404713976000000,8.145,-30
1733404714093000000,8.262,-24
1733404714211000000,8.38,-31
1733404714331000000,8.5,-25
1733404714445000000,8.614,-44
1733404714563000000,8.732,-55
1733404714679000000,8.848,-50
1733404714797000000,8.966,-44
1733404714914000000,9.082999755859374,-19
1733404715031000000,9.2,-10
1733404715149000000,9.318,-15
1733404715266000000,9.434999755859375,-43
1733404715382000000,9.551000244140624,-45
1733404715500000000,9.669,-36
1733404715617000000,9.786,-26
1733404715734000000,9.903000244140625,-35
1733404715851000000,10.02,-34
1733404715975000000,10.144,-47
1733404716085000000,10.254,-36
1733404716202000000,10.370999755859375,-31
1733404716319000000,10.488,-24
1733404716438000000,10.607000244140625,-29
1733404716555000000,10.724,-41
1733404716671000000,10.84,-41
1733404716772000000,10.941,-27
