time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1733404707845000000,2.014,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404709848000000,4.017,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404711846000000,6.015000244140625,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404713847000000,8.016,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404715853000000,10.022,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404717853000000,12.022,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404719853000000,14.022,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404721850000000,16.018999755859376,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404723851000000,18.02,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404725854000000,20.023000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404727854000000,22.023000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404729852000000,24.021,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404731856000000,26.025,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404733856000000,28.025,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404735858000000,30.026999755859375,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404737855000000,32.024,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404739854000000,34.023000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404741854000000,36.023000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404743855000000,38.024,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404745854000000,40.023000244140626,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404747855000000,42.024,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404749855000000,44.024,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404751855000000,46.024,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
1733404753861000000,48.03,wifi,true,true,true,false,,02:00:00:00:00:00,96,10.210.96.69,5300,,
