time,seconds_elapsed,dBFS
1732873913400000000,0.079,-160
1732873913506000000,0.184999755859375,-160
1732873913624000000,0.303,-160
1732873913741000000,0.42,-160
1732873913858000000,0.536999755859375,-40
1732873913977000000,0.656,-23
1732873914093000000,0.772,-15
1732873914214000000,0.893000244140625,-11
1732873914327000000,1.006,-11
1732873914446000000,1.125000244140625,-11
1732873914561000000,1.24,-14
1732873914679000000,1.358,-8
1732873914798000000,1.477000244140625,-14
1732873914914000000,1.592999755859375,-12
1732873915030000000,1.709000244140625,-14
1732873915147000000,1.826,-12
1732873915266000000,1.944999755859375,-13
1732873915382000000,2.061000244140625,-10
1732873915499000000,2.178,-24
1732873915617000000,2.296,-13
1732873915733000000,2.412,-3
1732873915850000000,2.528999755859375,-6
1732873915967000000,2.646,-15
1732873916087000000,2.766,-19
1732873916202000000,2.880999755859375,-17
1732873916319000000,2.998,-13
1732873916438000000,3.117000244140625,-18
1732873916554000000,3.232999755859375,-13
1732873916671000000,3.35,-12
1732873916788000000,3.467,-20
1732873916907000000,3.586,-19
1732873917022000000,3.701000244140625,-20
1732873917139000000,3.818,-23
1732873917257000000,3.936,-24
1732873917374000000,4.053000244140625,-20
1732873917491000000,4.17,-14
1732873917608000000,4.287,-16
1732873917727000000,4.406,-11
1732873917842000000,4.520999755859375,-15
1732873917959000000,4.638,-16
1732873918077000000,4.756,-10
1732873918194000000,4.872999755859375,-19
1732873918311000000,4.99,-17
1732873918430000000,5.109000244140625,-18
1732873918548000000,5.227,-15
1732873918664000000,5.343,-17
1732873918780000000,5.459,-14
1732873918898000000,5.576999755859375,-15
1732873919014000000,5.693000244140625,-15
1732873919131000000,5.81,-14
1732873919248000000,5.927,-6
1732873919368000000,6.047,-12
1732873919483000000,6.162,-23
1732873919600000000,6.279,-24
1732873919720000000,6.399,-29
1732873919841000000,6.52,-16
1732873919952000000,6.631,-25
1732873920069000000,6.748,-26
1732873920188000000,6.867,-28
1732873920304000000,6.983,-28
1732873920421000000,7.1,-21
1732873920538000000,7.216999755859375,-31
1732873920659000000,7.338,-26
1732873920772000000,7.451,-24
1732873920889000000,7.568,-12
1732873921006000000,7.685000244140625,-7
1732873921124000000,7.803,-23
1732873921241000000,7.92,-28
1732873921358000000,8.037000244140625,-30
1732873921477000000,8.156,-26
1732873921593000000,8.272,-19
1732873921710000000,8.389000244140625,-22
1732873921827000000,8.506,-34
1732873921944000000,8.623,-19
1732873922061000000,8.74,-16
1732873922179000000,8.858,-15
1732873922297000000,8.976,-9
1732873922413000000,9.092,-14
1732873922531000000,9.21,-8
1732873922646000000,9.325000244140625,-17
1732873922764000000,9.443,-21
1732873922882000000,9.560999755859376,-19
1732873922999000000,9.678,-23
1732873923118000000,9.797000244140625,-9
1732873923233000000,9.912,-1
1732873923350000000,10.029000244140626,-1
1732873923470000000,10.149000244140625,-10
1732873923588000000,10.267,-19
1732873923701000000,10.38,-16
1732873923818000000,10.496999755859376,-21
1732873923939000000,10.618,-21
1732873924053000000,10.732,-16
1732873924172000000,10.851,-1
1732873924287000000,10.966,-10
1732873924407000000,11.086,-18
1732873924522000000,11.200999755859375,-28
1732873924639000000,11.318,-30
1732873924756000000,11.435,-28
1732873924874000000,11.552999755859375,-28
1732873924991000000,11.67,-33
1732873925109000000,11.788,-40
1732873925228000000,11.907,-37
1732873925343000000,12.022,-40
1732873925460000000,12.139,-41
1732873925577000000,12.256,-40
1732873925694000000,12.373000244140625,-46
1732873925811000000,12.49,-29
1732873925929000000,12.608,-24
1732873926047000000,12.726,-36
1732873926163000000,12.842,-32
1732873926280000000,12.959,-18
1732873926398000000,13.077000244140624,-22
1732873926518000000,13.197000244140625,-22
1732873926632000000,13.311,-23
1732873926748000000,13.427,-19
1732873926869000000,13.548,-14
1732873926983000000,13.662,-18
1732873927101000000,13.78,-27
1732873927219000000,13.898,-18
1732873927338000000,14.016999755859375,-15
1732873927452000000,14.131,-18
1732873927569000000,14.248,-18
1732873927688000000,14.367,-27
1732873927804000000,14.483,-27
1732873927921000000,14.6,-40
1732873928038000000,14.717000244140625,-22
1732873928160000000,14.839,-34
1732873928272000000,14.951,-32
1732873928389000000,15.068,-36
1732873928507000000,15.186,-31
1732873928624000000,15.303,-37
1732873928741000000,15.42,-30
1732873928858000000,15.536999755859375,-14
1732873928977000000,15.656,-12
1732873929093000000,15.772,-23
1732873929210000000,15.888999755859375,-22
1732873929326000000,16.005000244140625,-27
1732873929444000000,16.123,-17
1732873929561000000,16.24,-14
1732873929679000000,16.358,-25
1732873929798000000,16.477000244140626,-24
1732873929914000000,16.592999755859374,-22
1732873930030000000,16.709000244140626,-12
1732873930147000000,16.826,-12
1732873930267000000,16.946,-12
1732873930382000000,17.061000244140626,-33
1732873930499000000,17.178,-41
1732873930617000000,17.296,-23
1732873930734000000,17.413000244140626,-17
1732873930852000000,17.531,-28
1732873930967000000,17.646,-21
1732873931087000000,17.766,-22
1732873931202000000,17.880999755859374,-4
1732873931319000000,17.998,-20
1732873931439000000,18.118,-17
1732873931554000000,18.232999755859375,-20
1732873931671000000,18.35,-22
1732873931788000000,18.467,-20
1732873931908000000,18.587,-24
1732873932022000000,18.701000244140626,-34
1732873932140000000,18.819,-35
1732873932257000000,18.936,-33
1732873932374000000,19.053000244140627,-33
1732873932492000000,19.171,-24
1732873932609000000,19.288,-20
1732873932726000000,19.405000244140624,-28
1732873932843000000,19.522,-32
1732873932960000000,19.639,-27
1732873933078000000,19.757000244140624,-32
1732873933198000000,19.877000244140625,-31
1732873933312000000,19.991,-31
1732873933429000000,20.108,-33
1732873933547000000,20.226,-28
1732873933664000000,20.343,-32
1732873933780000000,20.459,-36
1732873933901000000,20.58,-33
1732873934018000000,20.696999755859373,-31
1732873934132000000,20.811,-28
1732873934249000000,20.928,-13
1732873934368000000,21.047,-14
1732873934484000000,21.163,-20
1732873934601000000,21.28,-26
1732873934718000000,21.397000244140624,-11
1732873934840000000,21.519,-15
1732873934952000000,21.631,-18
1732873935069000000,21.748,-22
1732873935188000000,21.867,-36
1732873935304000000,21.983,-24
1732873935421000000,22.1,-22
1732873935538000000,22.216999755859376,-25
1732873935658000000,22.336999755859374,-22
1732873935772000000,22.451,-36
1732873935891000000,22.57,-14
1732873936007000000,22.686,-14
1732873936125000000,22.804,-29
1732873936241000000,22.92,-27
1732873936359000000,23.038,-28
1732873936478000000,23.157000244140626,-15
1732873936593000000,23.272,-29
1732873936710000000,23.389000244140625,-39
1732873936827000000,23.506,-25
1732873936945000000,23.624,-27
1732873937062000000,23.741000244140626,-37
1732873937179000000,23.858,-37
1732873937297000000,23.976,-38
1732873937414000000,24.093000244140626,-14
1732873937531000000,24.21,-17
1732873937648000000,24.327,-23
1732873937766000000,24.445000244140626,-28
1732873937882000000,24.560999755859374,-19
1732873937999000000,24.678,-17
1732873938118000000,24.797000244140627,-19
1732873938233000000,24.912,-5
1732873938351000000,25.03,-13
1732873938468000000,25.147,-20
1732873938588000000,25.267,-17
1732873938702000000,25.381000244140626,-12
1732873938820000000,25.499,-21
1732873938938000000,25.616999755859375,-17
1732873939053000000,25.732,-23
1732873939172000000,25.851,-18
1732873939288000000,25.967,-23
1732873939408000000,26.087,-24
1732873939523000000,26.202,-31
1732873939640000000,26.319,-29
1732873939758000000,26.437000244140624,-4
1732873939874000000,26.552999755859375,-19
1732873939991000000,26.67,-22
1732873940109000000,26.788,-26
1732873940228000000,26.907,-20
1732873940343000000,27.022,-27
1732873940460000000,27.139,-32
1732873940581000000,27.26,-32
1732873940740000000,27.419,-26
1732873940812000000,27.491,-26
