X,Y,MagX,MagY,MagZ,UncalMagX,UncalMagY,UncalMagZ,BiasX,BiasY,BiasZ
37,-13,37.100002,3.7,-28.2,18.300001,-8.7,-122.6,-18.800001,-12.400001,-94.4
36,-13,36.4,1.4,-33.100002,17.6,-10.900001,-127.3,-18.800001,-12.400001,-94.4
35,-13,35.600002,0.90000004,-40.3,16.800001,-11.5,-134.7,-18.800001,-12.400001,-94.4
34,-13,39.8,-0.6,-44.4,21.0,-13.0,-138.8,-18.800001,-12.400001,-94.4
33,-13,38.9,-1.1,-43.7,20.2,-13.5,-138.1,-18.800001,-12.400001,-94.4
32,-13,43.5,3.2,-42.100002,24.7,-9.1,-136.5,-18.800001,-12.400001,-94.4
31,-13,47.5,6.2000003,-52.0,28.5,-6.5,-146.6,-18.800001,-12.400001,-94.4
30,-13,50.4,4.6,-72.0,31.6,-7.6,-166.40001,-18.800001,-12.400001,-94.4
29,-13,59.100002,5.4,-75.3,40.3,-6.9,-169.7,-18.800001,-12.400001,-94.4
28,-13,57.4,-6.9,-64.4,38.600002,-19.300001,-158.8,-18.800001,-12.400001,-94.4
27,-13,50.7,-13.400001,-61.9,31.9,-25.800001,-156.3,-18.800001,-12.400001,-94.4
26,-13,56.2,-13.7,-59.5,37.4,-26.1,-153.90001,-18.800001,-12.400001,-94.4
25,-13,60.7,-15.2,-55.5,41.9,-27.6,-149.90001,-18.800001,-12.400001,-94.4
24,-13,54.3,-21.800001,-48.8,35.600002,-34.4,-143.6,-18.800001,-12.400001,-94.4
23,-13,48.9,-6.1,-53.0,30.1,-18.5,-147.40001,-18.800001,-12.400001,-94.4
22,-13,54.8,-0.90000004,-53.2,36.0,-13.3,-147.6,-18.800001,-12.400001,-94.4
21,-13,52.100002,2.6000001,-51.600002,33.4,-9.8,-146.0,-18.800001,-12.400001,-94.4
20,-13,47.5,8.900001,-49.0,28.7,-3.5,-143.40001,-18.800001,-12.400001,-94.4
19,-13,42.0,9.1,-50.8,23.2,-3.3,-145.2,-18.800001,-12.400001,-94.4
18,-13,34.100002,7.5,-55.3,15.3,-4.9,-149.6,-18.800001,-12.400001,-94.4
17,-13,33.0,8.900001,-59.7,14.2,-3.6000001,-154.0,-18.800001,-12.400001,-94.4
16,-13,47.2,2.9,-62.5,28.4,-9.5,-156.90001,-18.800001,-12.400001,-94.4
15,-13,52.3,-5.5,-62.5,33.5,-17.9,-156.90001,-18.800001,-12.400001,-94.4
